order_line_id,order_id,order_date,customer_id,product_id,quantity,order_status
OL00082,O0045,2026-05-21,C029,P015,3,Cancelled
OL00083,O0045,2026-05-21,C029,P009,4,Cancelled
OL00084,O0046,2026-06-10,C016,P010,3,Completed
OL00085,O0047,2026-03-23,C035,P008,2,Completed
OL00086,O0048,2026-06-30,C014,P011,1,Completed
OL00087,O0048,2026-06-30,C014,P018,4,Completed
OL00088,O0049,2026-04-10,C050,P019,1,Completed
OL00089,O0050,2026-04-01,,P018,2,Completed
OL00090,O0050,2026-04-01,C020,P020,3,Completed
OL00091,O0051,2026-04-22,C032,P013,2,Completed
OL00092,O0051,2026-04-22,C032,P006,1,Completed
OL00093,O0052,2026-04-11,C038,P003,2,Completed
OL00094,O0053,2026-04-29,C012,P011,3,Completed
OL00095,O0053,2026-04-29,C012,P007,4,Completed
OL00096,O0054,2026-03-13,C049,P009,1,Pending
OL00097,O0054,2026-03-13,C049,P003,3,Pending
OL00098,O0055,2026-02-27,C042,P001,2,Completed
OL00099,O0056,2026-01-06,C040,P016,2,Completed
OL00100,O0057,2026-04-30,C045,P006,2,Completed
OL00101,O0057,2026-04-30,C045,P004,1,Completed
OL00102,O0058,2026-05-29,C002,P013,2,Returned 
OL00103,O0058,2026-05-29,C002,P020,3,Returned
OL00104,O0058,2026-05-29,C002,P007,1,Returned
OL00105,O0059,2026-05-25,C003,P012,3,Completed
OL00106,O0059,2026-05-25,C003,P003,4,completed
OL00107,O0060,2026-05-06,C007,P015,3,Completed
OL00108,O0060,2026-05-06,C007,P005,4,Completed
OL00109,O0061,2026-04-30,C028,P009,1,Cancelled
OL00110,O0061,2026-04-30,C028,P011,4,Cancelled
OL00111,O0061,2026-04-30,C028,P008,4,Cancelled
OL00112,O0062,2026-05-26,C040,P001,2,Completed
OL00113,O0062,2026-05-26,C040,P016,3,Completed
OL00114,O0063,2026-03-08,C022,P009,2,Completed
OL00115,O0063,2026-03-08,C022,P018,4,Completed 
OL00116,O0063,2026-03-08,C022,P001,2,Completed
OL00117,O0064,2026-06-26,C031,P015,2,Completed 
OL00118,O0064,2026-06-26,C031,P001,2,Completed
OL00119,O0065,2026-03-20,C043,P018,3,Completed
OL00120,O0065,2026-03-20,C043,P017,4,Completed
OL00121,O0066,2026-03-11,C020,P007,2,Completed
OL00122,O0067,2026-02-19,C014,P999,1,Completed
OL00123,O0067,2026-02-19,C014,P017,3,Completed
OL00124,O0068,2026-02-28,C024,P018,1,Completed
OL00125,O0069,2026-01-14,C036,P016,1,Completed
OL00126,O0070,2026-05-27,C019,P011,3,Completed
OL00127,O0070,2026-05-27,C019,P006,4,Completed
OL00128,O0071,2026-01-30,C005,P019,1,Completed
OL00129,O0072,2026-02-08,C010,P003,4,Completed
OL00130,O0072,2026-02-08,C010,P008,2,Completed
OL00131,O0073,2026-05-14,C025,P010,3,Completed
OL00132,O0073,2026-05-14,C025,P019,1,Completed
OL00133,O0074,2026-06-06,C048,P007,1,Completed
OL00134,O0075,2026-02-10,C016,P006,4,completed
OL00135,O0076,2026-06-26,C039,P008,3,Completed
OL00136,O0077,2026-06-29,C030,P009,2,Completed
OL00137,O0078,2026-04-19,C008,P009,1,Completed
OL00138,O0079,2026-01-16,C011,P019,3,Completed
OL00139,O0079,2026-01-16,C011,P010,3,Completed
OL00140,O0079,2026-01-16,C011,P015,4,Completed
OL00141,O0080,2026-04-23,C006,P011,2,completed
OL00142,O0080,2026-04-23,C006,P009,1,Completed
OL00143,O0081,2026-06-22,C018,P016,4,Completed
OL00144,O0082,2026-03-13,C012,P016,4,Pending
OL00145,O0082,2026-03-13,C012,P003,1,Pending
OL00146,O0083,2026-02-11,C022,P010,1,Completed
OL00147,O0083,2026-02-11,C022,P013,3,Completed
OL00148,O0084,2026-03-06,C021,P017,4,Completed
OL00149,O0084,2026-03-06,C021,P001,2,Completed
OL00150,O0085,2026-05-13,C024,P015,2,Completed
OL00151,O0085,2026-05-13,C024,P002,4,Completed
OL00152,O0086,2026-06-28,C032,P008,4,Completed
OL00153,O0086,2026-06-28,C032,P006,1,Completed 
OL00154,O0086,2026-06-28,C032,P010,1,Completed
OL00155,O0087,2026-06-15,C010,P017,4,Completed
OL00156,O0087,2026-06-15,C010,P009,2,Completed
OL00157,O0088,2026-04-27,C036,P020,2,Completed
OL00158,O0089,2026-01-18,C018,P011,1,Completed
OL00159,O0089,2026-01-18,C018,P017,3,Completed
OL00160,O0090,2026-05-31,C038,P005,3,Pending
OL00161,O0090,2026-05-31,C038,P015,4,Pending
OL00162,O0091,2026-04-27,C021,P019,4,Cancelled
OL00163,O0092,2026-01-12,C021,P013,1,Completed
OL00164,O0092,2026-01-12,C021,P005,3,Completed
OL00165,O0093,2026-01-26,C029,P001,2,Completed
OL00166,O0093,2026-01-26,C029,P005,3,Completed 
OL00167,O0094,2026-03-28,C040,P011,4,Completed
OL00168,O0095,2026-03-23,C041,P018,2,Completed
OL00169,O0095,2026-03-23,C041,P002,3,Completed
OL00170,O0096,2026-02-28,C048,P004,3,Completed
OL00171,O0097,2026-01-08,C003,P010,4,Completed
OL00172,O0098,2026-02-07,C016,P006,4,Completed 
OL00173,O0098,2026-02-07,C016,P020,2,Completed
OL00174,O0098,2026-02-07,C016,P019,2,Completed
OL00175,O0099,2026-03-01,C030,P009,4,Completed
OL00176,O0099,2026-03-01,C030,P001,2,Completed
OL00177,O0100,2026-01-19,C029,P010,3,Returned
OL00178,O0100,2026-01-19,C029,P014,4,Returned
OL00179,O0100,2026-01-19,C029,P009,1,Returned
OL00180,O0101,2026-03-02,C025,P010,4,Completed
OL00181,O0101,2026-03-02,C025,P020,1,Completed
OL00182,O0101,2026-03-02,C025,P001,4,Completed
OL00183,O0102,2026-03-15,C050,P012,2,Completed
OL00184,O0102,2026-03-15,C050,P008,1,Completed
OL00185,O0102,2026-03-15,C050,P007,4,Completed
OL00186,O0103,2026-01-09,C038,P003,3,Completed
OL00187,O0104,2026-04-17,C012,P012,2,Completed
OL00188,O0104,2026-04-17,C012,P017,4,Completed
OL00189,O0104,2026-04-17,C012,P019,3,Completed
OL00190,O0105,2026-03-28,C008,P005,2,Completed
OL00191,O0106,2026-06-23,C047,P018,4,Completed 
OL00192,O0106,2026-06-23,C047,P012,1,completed
OL00193,O0107,2026-04-27,C024,P019,3,Completed
OL00194,O0107,2026-04-27,C024,P013,2,Completed
OL00195,O0108,2026-05-01,C002,P011,4,Completed
OL00196,O0108,2026-05-01,C002,P008,3,Completed
OL00197,O0108,2026-05-01,C002,P003,1,Completed
OL00198,O0109,2026-02-05,C003,P016,2,Returned 
OL00199,O0109,2026-02-05,C003,P004,3,Returned
OL00200,O0110,2026-06-21,C048,P014,1,Completed
OL00201,O0110,2026-06-21,C048,P019,4,Completed
OL00202,O0110,2026-06-21,C048,P005,3,Completed
OL00203,O0111,2026-01-09,C045,P015,1,Completed
OL00204,O0111,2026-01-09,C045,P008,3,Completed
OL00205,O0112,2026-05-20,C042,P009,4,Completed
OL00206,O0112,2026-05-20,C042,P007,2,Completed 
OL00207,O0113,2026-06-14,C041,P002,2,Completed
OL00208,O0114,2026-02-02,C037,P007,2,Completed
OL00209,O0114,2026-02-02,C037,P019,2,Completed
OL00210,O0114,2026-02-02,C037,P020,1,Completed
OL00211,O0115,2026-03-12,C010,P009,1,Pending
OL00212,O0115,2026-03-12,C010,P006,3,Pending
OL00213,O0115,2026-03-12,C010,P004,2,Pending
OL00214,O0116,2026-05-31,C021,P002,1,Completed
OL00215,O0116,2026-05-31,C021,P005,4,Completed
OL00216,O0117,2026-04-25,C050,P004,1,Completed
OL00217,O0117,2026-04-25,C050,P015,3,Completed
OL00218,O0117,2026-04-25,C050,P017,1,Completed
OL00219,O0118,2026-01-16,C031,P004,4,Cancelled
OL00220,O0118,2026-01-16,C031,P016,1,Cancelled 
OL00221,O0119,2026-03-24,C039,P009,3,Completed
OL00222,O0120,2026-04-08,C039,P017,1,Completed 
OL00223,O0120,2026-04-08,C039,P014,2,Completed
OL00224,O0121,2026-04-21,C029,P011,1,Cancelled
OL00225,O0121,2026-04-21,C029,P015,3,Cancelled
OL00226,O0122,2026-06-20,C017,P016,1,COMPLETED
OL00227,O0123,2026-01-24,C028,P005,3,COMPLETED
OL00228,O0123,2026-01-24,C028,P018,4,Completed
OL00229,O0124,2026-04-01,C043,P002,3,Returned
OL00230,O0124,2026-04-01,C043,P010,2,Returned
OL00231,O0125,2026-02-09,C043,P012,3,Completed
OL00232,O0126,2026-01-30,C049,P014,1,Completed
OL00233,O0127,2026-06-05,C043,P001,3,Cancelled
OL00234,O0127,2026-06-05,C043,P006,3,Cancelled
OL00235,O0128,2026-01-02,C012,P013,1,Cancelled
OL00236,O0128,2026-01-02,C012,P003,2,Cancelled 
OL00237,O0128,2026-01-02,C012,P005,4,Cancelled
OL00238,O0129,2026-03-29,C011,P019,2,Completed
OL00239,O0129,2026-03-29,C011,P003,1,Completed
OL00240,O0130,2026-06-22,C006,P016,2,Completed
OL00241,O0130,2026-06-22,C006,P015,1,Completed
OL00242,O0131,2026-03-30,C028,P016,4,COMPLETED
OL00243,O0131,2026-03-30,C028,P017,1,Completed
OL00244,O0131,2026-03-30,C028,P010,3,completed
OL00245,O0132,2026-02-24,C050,P010,4,Completed
OL00246,O0132,2026-02-24,C050,P011,2,Completed
OL00247,O0133,2026-02-03,C025,P017,3,Completed
OL00248,O0134,2026-01-19,C026,P014,1,cancelled
OL00249,O0135,2026-03-22,C037,P014,1,Completed
OL00250,O0135,2026-03-22,C037,P010,2,Completed
OL00251,O0136,2026-06-08,C030,P003,2,Cancelled
OL00252,O0136,2026-06-08,C030,P014,4,Cancelled
OL00253,O0137,2026-05-15,C006,P011,2,Completed
OL00254,O0137,2026-05-15,C006,P008,1,Completed 
OL00255,O0138,2026-05-16,C033,P012,2,Completed
OL00256,O0138,2026-05-16,C033,P005,2,Completed
OL00257,O0139,2026-06-04,C010,P006,4,Completed
OL00258,O0140,2026-04-29,C049,P015,3,Completed
OL00259,O0140,2026-04-29,C049,P019,1,Completed
OL00260,O0140,2026-04-29,C049,P011,3,Completed
OL00261,O0141,2026-03-12,C038,P003,1,Completed
OL00262,O0141,2026-03-12,C038,P010,3,Completed
OL00263,O0141,2026-03-12,C038,P015,1,Completed 
OL00264,O0142,2026-06-07,C039,P019,1,Completed
OL00265,O0142,2026-06-07,C039,P018,2,Completed
OL00266,O0143,2026-03-24,C039,P002,3,Completed
OL00267,O0144,2026-01-22,C033,P008,4,Completed
OL00268,O0145,2026-05-15,C034,P012,3,Completed
OL00269,O0145,2026-05-15,C034,P010,1,Completed
OL00270,O0146,2026-06-11,C042,P004,3,Completed
OL00271,O0146,2026-06-11,C042,P018,2,Completed
OL00272,O0147,2026-03-27,C006,P012,4,Completed
OL00273,O0148,2026-02-03,C039,P010,3,Completed
OL00274,O0149,2026-02-02,C043,P003,3,Completed
OL00275,O0149,2026-02-02,C043,P014,2,Completed
OL00276,O0149,2026-02-02,C043,P017,4,Completed
OL00277,O0150,2026-02-19,C015,P003,1,Pending
OL00031,O0017,2026-03-15,C028,P007,1,Completed
OL00076,O0040,2026-06-18,C006,P008,2,completed
